Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
81,Piastri,0.00,0.00,0.00,0.00
22,Tsunoda,26.06,26.14,26.54,80.30
18,Stroll,26.25,26.08,26.49,80.49
63,Russell,26.24,26.09,26.04,80.98
23,Albon,26.81,26.32,26.34,81.80
55,Sainz Jr,26.13,26.64,26.10,82.43
16,Leclerc,26.16,26.67,26.68,83.24
2,Sargeant,26.49,26.31,26.87,83.26
3,Ricciardo,26.39,26.85,26.17,83.44
31,Ocon,26.41,26.51,26.17,83.83
4,Norris,26.14,26.10,26.20,84.10
27,Hülkenberg,26.32,26.36,26.29,84.12
20,Magnussen,26.09,26.14,27.02,84.12
11,Pérez,26.28,27.12,26.33,84.30
77,Bottas,26.41,26.84,26.51,84.32
1,Verstappen,26.40,26.39,26.19,84.46
14,Alonso,26.27,26.12,26.51,85.31
44,Hamilton,26.19,26.09,26.22,85.97
10,Gasly,26.22,26.44,26.20,86.02
24,Zhou,26.55,26.95,26.43,87.92
