Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
22,Tsunoda,28.75,27.94,27.50,84.19
77,Bottas,30.59,26.55,27.32,84.45
31,Ocon,28.61,29.32,29.25,87.18
44,Hamilton,27.38,28.12,33.88,89.38
81,Piastri,31.79,30.45,27.27,89.52
20,Magnussen,29.33,27.65,33.73,90.70
10,Gasly,29.39,35.36,27.08,91.83
55,Sainz Jr,28.34,29.47,35.41,93.22
23,Albon,35.05,29.48,29.06,93.58
11,Pérez,30.86,36.32,27.36,94.54
18,Stroll,29.60,30.54,34.40,94.55
63,Russell,36.26,27.87,31.69,95.81
16,Leclerc,36.69,30.40,32.16,99.25
1,Verstappen,34.61,32.34,33.21,100.16
24,Zhou,37.66,35.96,28.34,101.96
14,Alonso,33.07,35.72,34.49,103.28
3,Ricciardo,36.58,36.36,31.20,104.14
2,Sargeant,35.99,35.43,34.97,106.38
27,Hülkenberg,35.67,36.20,37.26,109.14
4,Norris,37.36,36.04,37.75,111.14
