Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
81,Piastri,0.00,0.00,0.00,0.00
4,Norris,26.11,26.10,26.16,80.06
2,Sargeant,26.27,26.15,26.48,80.52
63,Russell,26.41,26.08,26.09,80.85
77,Bottas,26.08,26.05,26.43,81.02
14,Alonso,26.11,26.05,26.23,81.50
23,Albon,26.12,26.33,26.93,83.18
22,Tsunoda,26.45,26.15,26.20,83.60
1,Verstappen,26.15,26.20,26.12,83.85
20,Magnussen,26.06,26.12,26.07,83.86
55,Sainz Jr,26.28,26.35,26.07,83.88
10,Gasly,26.11,26.34,26.08,84.27
31,Ocon,26.48,26.59,26.47,84.44
24,Zhou,26.19,26.37,26.75,84.62
16,Leclerc,26.46,26.05,26.06,85.07
44,Hamilton,26.06,26.82,26.21,85.39
27,Hülkenberg,26.86,26.45,27.05,85.69
18,Stroll,26.19,26.34,26.39,85.82
3,Ricciardo,26.68,26.13,26.16,86.20
11,Pérez,26.20,26.52,26.21,87.28
