Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
3,Ricciardo,30.59,26.55,27.32,84.45
23,Albon,27.04,26.77,31.53,85.33
22,Tsunoda,26.29,31.74,28.34,86.37
11,Pérez,30.61,28.97,27.52,87.11
14,Alonso,28.61,29.32,29.25,87.18
16,Leclerc,27.38,28.12,33.88,89.38
4,Norris,31.79,30.45,27.27,89.52
81,Piastri,33.26,28.54,30.36,92.16
18,Stroll,28.34,29.47,35.41,93.22
24,Zhou,33.24,31.01,29.12,93.38
2,Sargeant,27.43,37.49,29.01,93.93
31,Ocon,32.06,28.30,35.30,95.66
20,Magnussen,36.26,27.87,31.69,95.81
63,Russell,32.26,27.17,37.09,96.52
44,Hamilton,37.47,26.54,33.39,97.40
1,Verstappen,35.67,28.61,35.65,99.92
77,Bottas,34.40,35.26,30.76,100.42
55,Sainz Jr,33.19,30.12,37.87,101.18
27,Hülkenberg,29.06,37.24,35.95,102.24
10,Gasly,37.57,31.13,34.99,103.69
