Num,Pilote,Secteur 1,Secteur 2,Secteur 3,Meilleur Tour
1,Verstappen,26.71,26.67,26.20,86.11,26.71,-nan,0,-169176432
2,Sargeant,26.50,26.13,26.20,81.38,26.50,-nan,0,-1338402497
3,Ricciardo,26.94,26.60,26.33,87.31,26.94,-nan,0,-1338402498
4,Norris,26.67,26.72,26.35,86.96,26.67,-nan,0,-1338402498
10,Gasly,26.09,26.23,26.11,81.85,26.09,-nan,0,-1338402498
11,Pérez,26.06,26.44,26.07,85.17,26.06,-nan,0,-1338402498
14,Alonso,26.08,26.10,26.20,87.36,26.08,-nan,0,-1338402498
16,Leclerc,26.11,26.13,26.52,84.91,26.11,-nan,0,-1338402498
18,Stroll,26.50,26.10,26.13,86.51,26.50,-nan,0,-1338402498
20,Magnussen,26.35,26.30,26.62,83.28,26.35,-nan,0,-1338402498
22,Tsunoda,26.37,26.34,27.21,81.02,26.37,-nan,0,-1338402498
23,Albon,26.38,26.20,26.26,84.50,26.38,-nan,0,-1338402498
24,Zhou,26.73,26.11,26.23,86.12,26.73,-nan,0,-1338402498
27,Hülkenberg,26.30,26.19,26.31,80.58,26.30,-nan,0,-1338402498
31,Ocon,26.19,26.19,26.21,85.59,26.19,-nan,0,-1338402498
44,Hamilton,26.50,26.25,26.78,84.21,26.50,-nan,0,-1338402498
55,Sainz Jr,26.64,26.29,26.93,82.62,26.64,-nan,0,-1338402498
63,Russell,26.38,26.28,26.56,83.66,26.38,-nan,0,-1338402498
77,Bottas,26.26,26.95,26.62,81.26,26.26,-nan,0,-1338402498
81,Piastri,26.80,26.29,26.21,84.95,26.80,-nan,0,-1338402498
